Marca,Modelo,Qntde_vendidos,Target_Semestre_1
BMW,118,2,2
BMW,218I,4,4
BMW,220,1,1
BMW,235,1,1
BMW,320,4,2
BMW,330,15,14
BMW,420,2,2
BMW,430I,1,1
BMW,520,3,3
BMW,530,1,1
BMW,I3,2,2
BMW,X1,12,1
BMW,X2 ,3,2
BMW,X3,20,13
BMW,X4,4,3
BMW,X5,5,4
BMW,X6,3,2
CHEVROLET,BLAZER,75,60
CHEVROLET,CAMARO,2,1
CHEVROLET,CAPTIVA,1551,1295
CHEVROLET,COLORADO,1498,1065
CHEVROLET,D-MAX,35,35
CHEVROLET,GROOVE,1913,1468
CHEVROLET,N400 MAX,1394,1034
CHEVROLET,ONIX,2167,1787
CHEVROLET,OPTRA,1,1
CHEVROLET,SAIL,3285,2000
CHEVROLET,SILVERADO,346,304
CHEVROLET,SPARK GT,3,2
CHEVROLET,SPIN,433,353
CHEVROLET,SUBURBAN,41,28
CHEVROLET,TAHOE,94,84
CHEVROLET,TRACKER,3882,2487
CHEVROLET,TRAILBLAZER,130,98
CHEVROLET,TRAVERSE,130,97
FIAT,ARGO,106,89
FIAT,CASA RODANTE,2,2
FIAT,CINQUECENTO,15,13
FIAT,CRONOS,81,70
FIAT,DUCATO,41,26
FIAT,FIORINO,3,1
FIAT,MOBI,2,1
FIAT,PULSE,234,100
FORD,BRONCO SPORT,117,85
FORD,CASA RODANTE,5,3
FORD,ECOSPORT,121,121
FORD,EDGE,162,108
FORD,EXPLORER,278,209
FORD,F 350,1,1
FORD,F 450,1,1
FORD,F-150,248,242
FORD,F-250,2,2
FORD,MAVERICK,83,34
FORD,MUSTANG,31,25
FORD,NEW ESCAPE,81,43
FORD,NEW RANGER,617,509
FORD,TERRITORY,799,542
FORD,TRANSIT VAN,237,152
HYUNDAI,ACCENT,2,2
HYUNDAI,ACCENT HCI,398,352
HYUNDAI,ATOS AH2,326,182
HYUNDAI,CRETA,17,5
HYUNDAI,CRETA GRAND SU2I,68,49
HYUNDAI,ELANTRA CN7,107,99
HYUNDAI,GRAND I-10,346,182
HYUNDAI,GRAND I-10 AI3 HB 1.2,186,150
HYUNDAI,GRAND I-10 Ai3 SEDAN ,49,23
HYUNDAI,GRAND I-10 SEDAN,109,48
HYUNDAI,H-1,3,2
HYUNDAI,HD 35,371,292
HYUNDAI,I20 BI3,71,45
HYUNDAI,I20 IB,5,1
HYUNDAI,IONIQ,6,6
HYUNDAI,NEW CRETA,345,195
HYUNDAI,PALISADE LX2,18,11
HYUNDAI,PORTER,517,463
HYUNDAI,SANTA FE TM,140,122
HYUNDAI,SANTA FE TM FL,17,16
HYUNDAI,SOLATI,210,160
HYUNDAI,STARIA FG,12,9
HYUNDAI,STARIA MB,106,81
HYUNDAI,TUCSON NX4,597,5
HYUNDAI,TUCSON TL,12,9
HYUNDAI,VELOSTER,12,9
HYUNDAI,VENUE,294,238
HYUNDAI,VERNA,204,203
PEUGEOT,2008,1027,769
PEUGEOT,208,611,544
PEUGEOT,3008,1311,1009
PEUGEOT,301,591,396
PEUGEOT,308,226,11
PEUGEOT,5008,344,287
PEUGEOT,BOXER,275,198
PEUGEOT,EXPERT,310,210
PEUGEOT,LANDTREK,509,207
PEUGEOT,PARTNER,2129,1773
PEUGEOT,RIFTER,202,119
PEUGEOT,SIN MODELO,1,1
RENAULT,ARKANA,15,13
RENAULT,CLIO V,31,31
RENAULT,DOKKER,64,64
RENAULT,DUSTER,111,96
RENAULT,EXPRESS,179,52
RENAULT,KANGOO,2,2
RENAULT,KOLEOS,6,6
RENAULT,KWID,120,94
RENAULT,OROCH,32,21
RENAULT,SYMBOL,31,30
TOYOTA,4RUNNER,204,190
TOYOTA,C-HR,13,8
TOYOTA,COROLLA,233,176
TOYOTA,COROLLA CROSS,951,655
TOYOTA,FORTUNER,132,5
TOYOTA,HIACE,8,6
TOYOTA,HILUX,2362,1723
TOYOTA,LAND CRUISER,39,28
TOYOTA,PRIUS,5,4
TOYOTA,RAIZE,840,467
TOYOTA,RAV4,2226,1606
TOYOTA,RUSH,604,467
TOYOTA,TACOMA,1,1
TOYOTA,YARIS,1700,1258
VOLKSWAGEN,AMAROK,194,173
VOLKSWAGEN,CASA RODANTE,2,2
VOLKSWAGEN,GOL,1005,616
VOLKSWAGEN,NIVUS,183,169
VOLKSWAGEN,NUEVO VIRTUS,51,1
VOLKSWAGEN,SAVEIRO,481,248
VOLKSWAGEN,T-CROSS,578,471
VOLKSWAGEN,TAOS,186,161
VOLKSWAGEN,TIGUAN,27,21
VOLKSWAGEN,VOYAGE,710,269
